	authorid	author_name	affiliation	emails
0	~Reinhard_Heckel1	Reinhard Heckel	Rice University	****@gmail.com, ****@rice.edu, ****@tum.de
1	~PAul_HAnd1	PAul HAnd	Rice University	****@northeastern.edu, ****@gmail.com
2	~Andrew_Brock1	Andrew Brock	DeepMind	****@hw.ac.uk, ****@gmail.com, ****@google.com
3	~Jeff_Donahue1	Jeff Donahue	DeepMind	****@eecs.berkeley.edu, ****@gmail.com, ****@google.com, ****@cs.berkeley.edu
4	~Karen_Simonyan1	Karen Simonyan	DeepMind	****@google.com, ****@robots.ox.ac.uk, ****@gmail.com
5	~Dan_Hendrycks1	Dan Hendrycks	UC Berkeley	****@ttic.edu, ****@berkeley.edu
6	~Mantas_Mazeika3	Mantas Mazeika	University of Illinois, Urbana-Champaign	****@ttic.edu, ****@uchicago.edu, ****@gmail.com, ****@illinois.edu
7	~Zhiqing_Sun1	Zhiqing Sun	School of Computer Science, Carnegie Mellon University	****@pku.edu.cn, ****@andrew.cmu.edu, ****@cs.cmu.edu
8	~Zhi-Hong_Deng1	Zhi-Hong Deng	Peking University	****@pku.edu.cn
9	~Jian-Yun_Nie1	Jian-Yun Nie	University of Montreal	****@iro.umontreal.ca
10	~Jian_Tang1	Jian Tang	Mila, HEC Montreal	****@gmail.com, ****@hec.ca
11	~Patrick_Schwab1	Patrick Schwab	GlaxoSmithKline plc	****@hest.ethz.ch, ****@icloud.com
12	~Patrick_Fernandes1	Patrick Fernandes	School of Computer Science, Carnegie Mellon University	****@microsoft.com, ****@gmail.com, ****@cs.cmu.edu
13	~Miltiadis_Allamanis1	Miltiadis Allamanis	Microsoft	****@ed.ac.uk, ****@allamanis.com, ****@microsoft.com, ****@microsoft.com, ****@microsoft.com, ****@gmail.com
14	~Marc_Brockschmidt1	Marc Brockschmidt	Microsoft Research	****@marcbrockschmidt.de, ****@microsoft.com
15	~Cheng-Zhi_Anna_Huang1	Cheng-Zhi Anna Huang	Google	****@gmail.com, ****@google.com
16	~Ashish_Vaswani1	Ashish Vaswani	University of Southern California	****@google.com
17	~Jakob_Uszkoreit1	Jakob Uszkoreit	Google	****@google.com, ****@google.com, ****@uszkoreit.net
18	~Ian_Simon1	Ian Simon	Google	****@google.com
19	~Curtis_Hawthorne1	Curtis Hawthorne	Google	****@google.com
20	~Noam_Shazeer1	Noam Shazeer	Duke University	****@google.com
21	~Andrew_Mingbo_Dai1	Andrew Dai	Google	****@google.com
22	~Matthew_Douglas_Hoffman1	Matthew Hoffman	Google	****@adobe.com, ****@cs.princeton.edu, ****@gmail.com, ****@matthewdhoffman.com, ****@google.com
23	~Douglas_Eck1	Douglas Eck	Google	****@google.com
24	~Han_Cai1	Han Cai	Massachusetts Institute of Technology	****@apex.sjtu.edu.cn, ****@gmail.com, ****@mit.edu
25	~Ligeng_Zhu1	Ligeng Zhu	Massachusetts Institute of Technology	****@sfu.ca, ****@mit.edu, ****@gmail.com
26	~song_han1	song han	Massachusetts Institute of Technology	****@stanford.edu, ****@google.com, ****@mit.edu
27	~Felix_Hill1	Felix Hill	Computer Laboratory	****@cl.cam.ac.uk, ****@google.com
28	~Adam_Santoro1	Adam Santoro	Google	****@google.com
29	~David_Barrett1	David Barrett	Google	****@google.com
30	~Ari_Morcos1	Ari Morcos	Facebook AI Research (FAIR)	****@google.com, ****@gmail.com, ****@fb.com
31	~Timothy_P_Lillicrap1	Timothy Lillicrap	DeepMind	****@google.com, ****@google.com
32	~Jonathan_Frankle1	Jonathan Frankle	MosaicML	****@mit.edu, ****@csail.mit.edu, ****@gmail.com, ****@seas.harvard.edu, ****@mosaicml.com
33	~Michael_Carbin1	Michael Carbin	Massachusetts Institute of Technology	****@csail.mit.edu
34	~Arslan_Chaudhry1	Arslan Chaudhry	Google	****@eng.ox.ac.uk, ****@deepmind.com, ****@google.com
35	~MarcAurelio_Ranzato1	MarcAurelio Ranzato	Facebook	****@fb.com, ****@cs.toronto.edu, ****@google.com, ****@cs.nyu.edu, ****@gmail.com, ****@deepmind.com
36	~Marcus_Rohrbach1	Marcus Rohrbach	Facebook	****@berkeley.edu, ****@gmail.com, ****@fb.com
37	~Mohamed_Elhoseiny1	Mohamed Elhoseiny	KAUST	****@cs.rutgers.edu, ****@gmail.com, ****@fb.com, ****@stanford.edu, ****@kaust.edu.sa, ****@cs.stanford.edu
38	~Dan_Hendrycks1	Dan Hendrycks	UC Berkeley	****@ttic.edu, ****@berkeley.edu
39	~Alex_Tong_Lin1	Alex Lin	University of California, Los Angeles	****@math.ucla.edu
40	~Wuchen_Li1	Wuchen Li	University of South Carolina	****@math.ucla.edu, ****@mailbox.sc.edu
41	~Stanley_Osher1	Stanley Osher	University of California, Los Angeles	****@math.ucla.edu
42	~Guido_Montufar1	Guido Montufar	UCLA	****@gmail.com, ****@mis.mpg.de, ****@math.ucla.edu, ****@googlemail.com
43	~Tiange_Luo1	Tiange Luo	University of Michigan - Ann Arbor	****@pku.edu.cn, ****@gmail.com, ****@umich.edu, ****@buaa.edu.cn
44	~Tianle_Cai1	Tianle Cai	Peking University	****@pku.edu.cn
45	~Mengxiao_Zhang2	Mengxiao Zhang	University of Southern California	****@usc.edu, ****@usc.edu
46	~Siyu_Chen1	Siyu Chen	Peking University	****@pku.edu.cn
47	~Liwei_Wang1	Liwei Wang	Peking University	****@cis.pku.edu.cn, ****@pku.edu.cn
48	~Nina_Miolane2	Nina Miolane	University of California, Santa Barbara	****@stanford.edu, ****@gmail.com
49	~Johan_Mathe1	Johan Mathe	Stanford University	****@froglabs.ai, ****@atmo.ai, ****@gmail.com
50	~Claire_Donnat1	Claire Donnat	University of Chicago	****@stanford.edu, ****@uchicago.edu
51	~Luke_Nicholas_Darlow1	Luke Darlow	University of Edinburgh	****@sms.ed.ac.uk, ****@sms.ed.ac.uk
52	~Amos_Storkey1	Amos Storkey	University of Edinburgh	****@ed.ac.uk, ****@ed.ac.uk, ****@inf.ed.ac.uk, ****@storkey.org, ****@ed.ac.uk
53	~Ian_Fischer1	Ian Fischer	Google	****@google.com
54	~Ori_Press1	Ori Press	Tel Aviv University,	****@gmail.com
55	~Tomer_Galanti1	Tomer Galanti	DeepMind	****@gmail.com, ****@post.tau.ac.il, ****@deepmind.com
56	~Sagie_Benaim1	Sagie Benaim	Tel Aviv University	****@gmail.com
57	~Lior_Wolf1	Lior Wolf	Tel Aviv University	****@fb.com, ****@cs.tau.ac.il, ****@gmail.com
58	~Chen_Ma1	Chen Ma		****@ualberta.ca, ****@gmail.com
59	~Dylan_Ashley1	Dylan Ashley	The Swiss AI Lab IDSIA	****@ualberta.ca, ****@idsia.ch, ****@supsi.ch, ****@usi.ch
60	~Junfeng_Wen1	Junfeng Wen	Layer 6 AI	****@gmail.com, ****@ualberta.ca, ****@layer6.ai
61	~Yoshua_Bengio1	Yoshua Bengio	University of Montreal	****@gmail.com, ****@iro.umontreal.ca, ****@mila.quebec, ****@umontreal.ca
62	~Ishaan_Gulrajani1	Ishaan Gulrajani	Stanford University	****@gmail.com, ****@gmail.com, ****@google.com
63	~Colin_Raffel1	Colin Raffel	Hugging Face	****@gmail.com, ****@columbia.edu, ****@ee.columbia.edu, ****@google.com
64	~Luke_Metz1	Luke Metz	Google	****@google.com
65	~Ikki_Kishida1	Ikki Kishida	The University of Tokyo, Tokyo Institute of Technology	****@nlab.ci.i.u-tokyo.ac.jp
66	~Samyam_Rajbhandari1	Samyam Rajbhandari	Microsoft	****@microsoft.com
